qtl_key	locus	gene_symbol	dataset_label	gwas_trait	n_snps	qtl_converged	gwas_converged	qtl_n_cs	gwas_n_cs
block464__QTD000231__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_transverse_eQTL	FinnGen_DEP	1734	TRUE	TRUE	1	
block464__QTD000231__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_transverse_eQTL	deLange_IBD	1734	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_transverse_eQTL	FinnGen_IBD	1734	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_transverse_eQTL	Howard_DEP	1526	TRUE	TRUE		
block464__QTD000231__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_transverse_eQTL	FinnGen_DEP	1526	TRUE	TRUE		
block464__QTD000231__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_transverse_eQTL	deLange_IBD	1526	TRUE	TRUE		1
block464__QTD000231__ENSG00000164068__ENSG00000164068	block464	RNF123	GTEx_colon_transverse_eQTL	FinnGen_IBD	1526	TRUE	TRUE		1
block464__QTD000231__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_transverse_eQTL	Howard_DEP	1906	TRUE	TRUE	1	
block464__QTD000231__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_transverse_eQTL	FinnGen_DEP	1906	TRUE	TRUE	1	
block464__QTD000231__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_transverse_eQTL	deLange_IBD	1906	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000173421__ENSG00000173421	block464	CCDC36	GTEx_colon_transverse_eQTL	FinnGen_IBD	1906	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_transverse_eQTL	Howard_DEP	1482	TRUE	TRUE	1	
block464__QTD000231__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_transverse_eQTL	FinnGen_DEP	1482	TRUE	TRUE	1	
block464__QTD000231__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_transverse_eQTL	deLange_IBD	1482	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_colon_transverse_eQTL	FinnGen_IBD	1482	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_colon_transverse_eQTL	Howard_DEP	1426	TRUE	TRUE	1	
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_colon_transverse_eQTL	FinnGen_DEP	1426	TRUE	TRUE	1	
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_colon_transverse_eQTL	deLange_IBD	1426	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_colon_transverse_eQTL	FinnGen_IBD	1426	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_transverse_eQTL	Howard_DEP	1918	TRUE	TRUE	1	
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_transverse_eQTL	FinnGen_DEP	1918	TRUE	TRUE	1	
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_transverse_eQTL	deLange_IBD	1918	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_transverse_eQTL	FinnGen_IBD	1918	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000047849__3:47877523:47909038:clu_42992_-	block464	MAP4	GTEx_colon_transverse_sQTL	Howard_DEP	963	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000047849__3:47877523:47909038:clu_42992_-	block464	MAP4	GTEx_colon_transverse_sQTL	FinnGen_DEP	963	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000047849__3:47877523:47909038:clu_42992_-	block464	MAP4	GTEx_colon_transverse_sQTL	deLange_IBD	963	TRUE	TRUE	1	2
block464__QTD000235__ENSG00000047849__3:47877523:47909038:clu_42992_-	block464	MAP4	GTEx_colon_transverse_sQTL	FinnGen_IBD	963	TRUE	TRUE	1	3
block464__QTD000235__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_transverse_sQTL	Howard_DEP	1506	TRUE	TRUE	1	
block464__QTD000235__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_transverse_sQTL	FinnGen_DEP	1506	TRUE	TRUE	1	
block464__QTD000235__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_transverse_sQTL	deLange_IBD	1506	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_transverse_sQTL	FinnGen_IBD	1506	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000173531__3:49684189:49684314:clu_43117_-	block464	MST1	GTEx_colon_transverse_sQTL	Howard_DEP	1528	TRUE	TRUE	1	
block464__QTD000235__ENSG00000173531__3:49684189:49684314:clu_43117_-	block464	MST1	GTEx_colon_transverse_sQTL	FinnGen_DEP	1528	TRUE	TRUE	1	
block464__QTD000235__ENSG00000173531__3:49684189:49684314:clu_43117_-	block464	MST1	GTEx_colon_transverse_sQTL	deLange_IBD	1528	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000173531__3:49684189:49684314:clu_43117_-	block464	MST1	GTEx_colon_transverse_sQTL	FinnGen_IBD	1528	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000233276__3:49357747:49358027:clu_43073_-	block464	GPX1	GTEx_colon_transverse_sQTL	Howard_DEP	1810	TRUE	TRUE	1	
block464__QTD000235__ENSG00000233276__3:49357747:49358027:clu_43073_-	block464	GPX1	GTEx_colon_transverse_sQTL	FinnGen_DEP	1810	TRUE	TRUE	1	
block464__QTD000235__ENSG00000233276__3:49357747:49358027:clu_43073_-	block464	GPX1	GTEx_colon_transverse_sQTL	deLange_IBD	1810	TRUE	TRUE	1	1
block464__QTD000235__ENSG00000233276__3:49357747:49358027:clu_43073_-	block464	GPX1	GTEx_colon_transverse_sQTL	FinnGen_IBD	1810	TRUE	TRUE	1	1
block464__QTD000321__ENSG00000164076__ENSG00000164076	block464	CAMKV	GTEx_small_intestine_eQTL	Howard_DEP	1340	TRUE	TRUE		
block464__QTD000321__ENSG00000164076__ENSG00000164076	block464	CAMKV	GTEx_small_intestine_eQTL	FinnGen_DEP	1340	TRUE	TRUE		
block464__QTD000321__ENSG00000164076__ENSG00000164076	block464	CAMKV	GTEx_small_intestine_eQTL	deLange_IBD	1340	TRUE	TRUE		1
block464__QTD000321__ENSG00000164076__ENSG00000164076	block464	CAMKV	GTEx_small_intestine_eQTL	FinnGen_IBD	1340	TRUE	TRUE		1
block464__QTD000321__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_small_intestine_eQTL	Howard_DEP	1424	TRUE	TRUE		
block464__QTD000321__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_small_intestine_eQTL	FinnGen_DEP	1424	TRUE	TRUE		
block464__QTD000321__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_small_intestine_eQTL	deLange_IBD	1424	TRUE	TRUE		1
block464__QTD000321__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_small_intestine_eQTL	FinnGen_IBD	1424	TRUE	TRUE		1
block464__QTD000321__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_small_intestine_eQTL	Howard_DEP	1369	TRUE	TRUE	1	
block464__QTD000321__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_small_intestine_eQTL	FinnGen_DEP	1369	TRUE	TRUE	1	
block464__QTD000321__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_small_intestine_eQTL	deLange_IBD	1369	TRUE	TRUE	1	1
block464__QTD000321__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_small_intestine_eQTL	FinnGen_IBD	1369	TRUE	TRUE	1	1
block464__QTD000325__ENSG00000164068__3:49700709:49701533:clu_48627_+	block464	RNF123	GTEx_small_intestine_sQTL	Howard_DEP	1448	TRUE	TRUE	1	
block464__QTD000325__ENSG00000164068__3:49700709:49701533:clu_48627_+	block464	RNF123	GTEx_small_intestine_sQTL	FinnGen_DEP	1448	TRUE	TRUE	1	
block464__QTD000325__ENSG00000164068__3:49700709:49701533:clu_48627_+	block464	RNF123	GTEx_small_intestine_sQTL	deLange_IBD	1448	TRUE	TRUE	1	1
block464__QTD000325__ENSG00000164068__3:49700709:49701533:clu_48627_+	block464	RNF123	GTEx_small_intestine_sQTL	FinnGen_IBD	1448	TRUE	TRUE	1	1
block464__QTD000325__ENSG00000173531__3:49684189:49684371:clu_72047_-	block464	MST1	GTEx_small_intestine_sQTL	Howard_DEP	1470	TRUE	TRUE	1	
block464__QTD000325__ENSG00000173531__3:49684189:49684371:clu_72047_-	block464	MST1	GTEx_small_intestine_sQTL	FinnGen_DEP	1470	TRUE	TRUE	1	
block464__QTD000325__ENSG00000173531__3:49684189:49684371:clu_72047_-	block464	MST1	GTEx_small_intestine_sQTL	deLange_IBD	1470	TRUE	TRUE	1	1
block464__QTD000325__ENSG00000173531__3:49684189:49684371:clu_72047_-	block464	MST1	GTEx_small_intestine_sQTL	FinnGen_IBD	1470	TRUE	TRUE	1	1
block464__QTD000356__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_blood_eQTL	Howard_DEP	1496	TRUE	TRUE	1	
block464__QTD000356__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_blood_eQTL	FinnGen_DEP	1496	TRUE	TRUE	1	
block464__QTD000356__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_blood_eQTL	deLange_IBD	1496	TRUE	TRUE	1	1
block464__QTD000356__ENSG00000173540__ENSG00000173540	block464	GMPPB	GTEx_blood_eQTL	FinnGen_IBD	1496	TRUE	TRUE	1	1
block464__QTD000356__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_blood_eQTL	Howard_DEP	1438	TRUE	TRUE	1	
block464__QTD000356__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_blood_eQTL	FinnGen_DEP	1438	TRUE	TRUE	1	
block464__QTD000356__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_blood_eQTL	deLange_IBD	1438	TRUE	TRUE	1	1
block464__QTD000356__ENSG00000182179__ENSG00000182179	block464	UBA7	GTEx_blood_eQTL	FinnGen_IBD	1438	TRUE	TRUE	1	1
block464__QTD000360__ENSG00000067560__3:49360382:49360928:clu_31498_-	block464	RHOA	GTEx_blood_sQTL	Howard_DEP	1816	TRUE	TRUE	1	
block464__QTD000360__ENSG00000067560__3:49360382:49360928:clu_31498_-	block464	RHOA	GTEx_blood_sQTL	FinnGen_DEP	1816	TRUE	TRUE	1	
block464__QTD000360__ENSG00000067560__3:49360382:49360928:clu_31498_-	block464	RHOA	GTEx_blood_sQTL	deLange_IBD	1816	TRUE	TRUE	1	1
block464__QTD000360__ENSG00000067560__3:49360382:49360928:clu_31498_-	block464	RHOA	GTEx_blood_sQTL	FinnGen_IBD	1816	TRUE	TRUE	1	1
block464__QTD000360__ENSG00000114316__3:49292598:49294407:clu_31495_-	block464	USP4	GTEx_blood_sQTL	Howard_DEP	1923	TRUE	TRUE	1	
block464__QTD000360__ENSG00000114316__3:49292598:49294407:clu_31495_-	block464	USP4	GTEx_blood_sQTL	FinnGen_DEP	1923	TRUE	TRUE	1	
block464__QTD000360__ENSG00000114316__3:49292598:49294407:clu_31495_-	block464	USP4	GTEx_blood_sQTL	deLange_IBD	1923	TRUE	TRUE	1	1
block464__QTD000360__ENSG00000114316__3:49292598:49294407:clu_31495_-	block464	USP4	GTEx_blood_sQTL	FinnGen_IBD	1923	TRUE	TRUE	1	1
block464__QTD000360__ENSG00000164068__3:49700709:49701533:clu_21929_+	block464	RNF123	GTEx_blood_sQTL	Howard_DEP	1520	TRUE	TRUE	1	
block464__QTD000360__ENSG00000164068__3:49700709:49701533:clu_21929_+	block464	RNF123	GTEx_blood_sQTL	FinnGen_DEP	1520	TRUE	TRUE	1	
