qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-05	1972	5.97924646073581e-46	1.31817173393718e-30	4.53601477470367e-16	1	9.01782132296968e-17	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-06	1972	5.97924646073581e-46	1.31817173393718e-30	4.53601477470367e-16	1	9.01782132296964e-18	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-05	1972	7.26260998228031e-43	1.31817173393538e-30	5.50960834260038e-13	0.999999999998636	8.13110580731417e-13	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-06	1972	7.26260998228567e-43	1.31817173393636e-30	5.50960834260445e-13	0.999999999999375	8.13110580732014e-14	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP	1e-05	1972	1.24071021336732e-17	2.45130195728436e-19	0.978220225178603	0.0193244844478548	0.00245529037354139	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP	1e-06	1972	1.2434579586876e-17	2.45673074590007e-19	0.980386645682748	0.0193672815177398	0.00024607279951239	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	FinnGen_DEP	1e-05	1972	1.16384838766923e-17	9.61325253086185e-19	0.917619617855517	0.0757877221939273	0.0065926599505587	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	FinnGen_DEP	1e-06	1972	1.17079517669375e-17	9.67063220151214e-19	0.923096714320606	0.0762400846513643	0.000663201028026845	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-05	1972	5.75318288673832e-33	1.26833424767982e-17	4.53601477470283e-16	0.999999999999815	1.8304864464959e-13	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-06	1972	5.7531828867393e-33	1.26833424768003e-17	4.53601477470361e-16	0.999999999999986	1.83048644649622e-14	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-05	1972	6.98802495222807e-30	1.26833424767909e-17	5.50960834260375e-13	0.999999999999233	2.17620736940698e-13	ok	
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-06	1972	6.98802495222946e-30	1.26833424767934e-17	5.50960834260484e-13	0.999999999999432	2.17620736940742e-14	ok	
